Date,Price,Open,High,Low,Vol.,Change %
2021-02-26,"46,345.60","46,928.50","48,413.90","44,248.20",189.41K,-1.24%
2021-02-25,"46,928.50","49,695.90","52,013.80","46,773.70",83.22K,-5.57%
2021-02-24,"49,697.50","48,911.10","51,311.80","47,031.70",153.75K,1.61%
2021-02-23,"48,911.20","54,114.10","54,115.00","45,093.80",315.07K,-9.61%
2021-02-22,"54,111.80","57,437.60","57,480.80","48,353.80",244.95K,-5.78%
2021-02-21,"57,433.80","55,907.60","58,335.10","55,502.70",87.26K,2.70%
2021-02-20,"55,923.70","55,922.00","57,523.80","54,124.10",127.85K,0.03%
2021-02-19,"55,906.60","51,590.10","56,238.50","50,816.80",139.43K,8.38%
2021-02-18,"51,582.20","52,094.50","52,524.00","50,941.60",94.35K,-0.95%
2021-02-17,"52,079.20","49,161.30","52,577.70","49,018.10",140.03K,5.92%
2021-02-16,"49,169.70","47,934.20","50,515.80","47,044.40",141.37K,2.57%
2021-02-15,"47,936.30","48,611.10","48,936.50","45,786.10",123.18K,-1.45%
2021-02-14,"48,643.40","47,172.10","49,695.10","47,051.90",106.50K,3.13%
2021-02-13,"47,168.70","47,373.10","48,097.30","46,270.50",89.42K,-0.43%
2021-02-12,"47,371.70","47,995.00","48,927.40","46,218.60",133.73K,-1.29%
2021-02-11,"47,990.70","44,834.80","48,622.10","44,041.10",145.77K,7.04%
2021-02-10,"44,836.00","46,507.80","47,295.30","43,800.50",151.83K,-3.60%
2021-02-09,"46,508.60","46,396.40","48,143.50","45,104.70",193.87K,0.24%
2021-02-08,"46,395.70","38,853.60","46,596.40","38,057.00",248.47K,19.41%
2021-02-07,"38,852.90","39,228.90","39,691.70","37,381.60",125.37K,-1.03%
2021-02-06,"39,256.60","38,300.60","40,939.70","38,275.30",156.02K,2.50%
2021-02-05,"38,297.60","36,976.40","38,303.60","36,640.00",100.60K,3.56%
2021-02-04,"36,982.10","37,648.90","38,707.90","36,380.80",151.44K,-1.77%
2021-02-03,"37,646.80","35,486.90","37,646.80","35,401.50",131.03K,6.09%
2021-02-02,"35,485.20","33,514.00","35,976.10","33,462.40",120.85K,5.88%
2021-02-01,"33,515.70","33,106.80","34,685.60","32,324.90",126.32K,1.23%
2021-01-31,"33,108.10","34,281.60","34,348.30","32,189.90",101.92K,-3.43%
2021-01-30,"34,283.10","34,300.00","34,920.90","32,908.50",128.57K,-0.05%
2021-01-29,"34,301.80","33,381.70","38,546.00","31,953.30",297.73K,2.78%
2021-01-28,"33,374.80","30,408.90","33,790.80","29,911.90",167.39K,9.77%
2021-01-27,"30,404.00","32,499.60","32,545.40","29,290.40",194.35K,-6.46%
2021-01-26,"32,502.10","32,244.10","32,917.70","30,850.00",139.84K,0.77%
2021-01-25,"32,252.30","32,244.30","34,854.30","31,967.40",142.43K,0.03%
2021-01-24,"32,241.30","32,088.50","33,034.80","30,982.90",88.21K,0.47%
2021-01-23,"32,088.90","32,994.10","33,441.40","31,418.20",100.70K,-2.76%
2021-01-22,"33,000.50","30,838.70","33,821.20","28,871.20",243.09K,7.00%
2021-01-21,"30,842.10","35,472.30","35,591.10","30,101.80",253.27K,-13.06%
2021-01-20,"35,476.30","35,862.10","36,384.40","33,444.50",153.61K,-1.46%
2021-01-19,"36,002.90","36,630.60","37,821.00","36,001.40",79.11K,-1.67%
2021-01-18,"36,613.20","35,838.20","37,436.80","34,801.00",111.52K,2.16%
2021-01-17,"35,839.60","36,020.10","36,801.30","33,883.50",126.82K,-0.50%
2021-01-16,"36,019.50","36,751.80","37,931.70","35,408.40",137.02K,-2.24%
2021-01-15,"36,845.80","39,175.70","39,715.00","34,488.70",118.42K,-5.95%
