Date,Price,Open,High,Low,Vol.,Change %
2020-12-28,3.733,3.6001,3.8584,3.6001,7.19M,3.81%
2020-12-27,3.5959,3.4156,3.6803,3.4156,9.41M,5.20%
2020-12-26,3.4183,3.5038,3.5342,3.4183,5.81M,-2.40%
2020-12-25,3.5023,3.524,3.5836,3.4385,5.35M,-0.58%
2020-12-24,3.5227,3.3051,3.5227,3.1675,6.36M,5.92%
2020-12-23,3.3257,3.7301,3.7322,3.3257,9.03M,-10.95%
2020-12-22,3.7346,3.519,3.7346,3.3942,9.91M,6.42%
2020-12-21,3.5094,3.7577,3.8132,3.4676,8.73M,-6.74%
2020-12-20,3.763,3.9594,3.9659,3.7614,7.89M,-5.03%
2020-12-19,3.9622,3.7715,4.1911,3.7586,16.33M,5.25%
2020-12-18,3.7646,3.6955,3.7975,3.6621,7.21M,1.88%
2020-12-17,3.6951,3.5359,3.9726,3.4738,14.18M,4.45%
2020-12-16,3.5377,3.3256,3.5377,3.2935,6.14M,6.29%
2020-12-15,3.3285,3.4861,3.4861,3.3285,5.01M,-4.30%
2020-12-14,3.478,3.344,3.478,3.2565,4.31M,4.01%
2020-12-13,3.344,3.1217,3.344,3.1123,3.30M,7.09%
2020-12-12,3.1225,2.9684,3.15,2.9684,3.89M,5.58%
2020-12-11,2.9575,3.2442,3.2442,2.9544,5.10M,-8.62%
2020-12-10,3.2365,3.3591,3.3591,3.2356,3.06M,-3.59%
2020-12-09,3.357,3.2902,3.3685,3.201,6.53M,1.79%
2020-12-08,3.2979,3.761,3.761,3.2979,7.19M,-12.23%
2020-12-07,3.7576,3.6542,3.8043,3.5799,5.87M,3.00%
2020-12-06,3.648,3.6829,3.7189,3.5294,3.55M,-1.03%
2020-12-05,3.6861,3.5169,3.6861,3.4967,3.90M,4.81%
2020-12-04,3.517,3.8756,3.8756,3.517,4.75M,-9.42%
2020-12-03,3.8829,3.9426,3.9848,3.8388,6.93M,-1.54%
2020-12-02,3.9435,3.5455,4.0561,3.5455,12.01M,11.11%
2020-12-01,3.5491,3.7765,3.925,3.5491,9.91M,-6.09%
2020-11-30,3.7794,3.5635,3.7794,3.5589,8.22M,6.44%
2020-11-29,3.5508,3.461,3.5508,3.3952,4.76M,2.58%
2020-11-28,3.4616,3.3101,3.4913,3.2922,5.74M,4.55%
2020-11-27,3.3108,3.444,3.477,3.2537,8.37M,-3.43%
2020-11-26,3.4284,3.6639,3.703,3.2067,17.18M,-6.62%
2020-11-25,3.6716,4.063,4.063,3.6716,11.37M,-9.77%
2020-11-24,4.0693,4.1946,4.3533,4.0029,18.39M,-2.69%
2020-11-23,4.1816,3.7036,4.2177,3.6382,15.96M,13.54%
2020-11-22,3.683,3.8524,3.8524,3.6198,11.20M,-4.04%
2020-11-21,3.8382,3.857,3.9228,3.6573,15.60M,-0.57%
2020-11-20,3.8603,3.7417,3.998,3.7125,17.02M,3.62%
2020-11-19,3.7255,3.4625,3.825,3.2791,18.70M,7.68%
2020-11-18,3.4599,3.8149,3.8149,3.3328,15.44M,-9.15%
2020-11-17,3.8082,3.5659,3.8082,3.5659,18.16M,6.82%
2020-11-16,3.565,3.8254,3.8533,3.5061,24.09M,-7.24%
2020-11-15,3.8431,3.8127,4.1955,3.65,23.58M,0.86%
2020-11-14,3.8104,3.8461,3.8572,3.6101,22.33M,-1.14%
2020-11-13,3.8543,2.9598,3.8543,2.954,24.14M,30.22%
2020-11-12,2.9598,2.9332,3.078,2.8921,9.93M,0.88%
2020-11-11,2.9341,3.0851,3.1348,2.9341,12.86M,-4.59%
2020-11-10,3.0751,2.6779,3.0751,2.6401,16.79M,14.74%
2020-11-09,2.68,2.8603,2.8603,2.6235,11.03M,-6.70%
2020-11-08,2.8724,2.4725,2.8724,2.4725,13.01M,16.06%
2020-11-07,2.475,2.5742,2.9334,2.475,38.13M,-3.66%
2020-11-06,2.569,2.1881,2.569,2.1881,29.79M,17.23%
