Date,Price,Open,High,Low,Vol.,Change %
2020-12-27,0.154639,0.158324,0.166119,0.149624,1.18B,-2.33%
2020-12-26,0.158322,0.157512,0.162382,0.14916,913.69M,0.51%
2020-12-25,0.157516,0.152995,0.166945,0.150284,983.16M,2.96%
2020-12-24,0.152984,0.136509,0.154489,0.131817,1.09B,12.07%
2020-12-23,0.13651,0.156633,0.157753,0.126379,1.20B,-12.86%
2020-12-22,0.156658,0.152704,0.161041,0.149074,777.26M,2.59%
2020-12-21,0.152699,0.161983,0.166143,0.147907,700.21M,-5.74%
2020-12-20,0.161998,0.164314,0.168915,0.157909,571.96M,-1.40%
2020-12-19,0.164301,0.165014,0.17051,0.162972,570.48M,-0.44%
2020-12-18,0.16502,0.163402,0.16937,0.158661,705.00M,0.98%
2020-12-17,0.163418,0.168202,0.176019,0.160829,1.11B,-2.84%
2020-12-16,0.168198,0.153828,0.168304,0.149243,756.99M,9.35%
2020-12-15,0.153813,0.158227,0.159968,0.1529,439.64M,-2.84%
2020-12-14,0.158316,0.154079,0.158375,0.14961,363.18M,2.77%
2020-12-13,0.154049,0.144273,0.156597,0.143008,525.60M,6.79%
2020-12-12,0.144259,0.139204,0.147233,0.139107,411.01M,3.62%
2020-12-11,0.139216,0.141669,0.142788,0.134861,505.09M,-1.73%
2020-12-10,0.141663,0.147966,0.148574,0.139625,489.74M,-4.26%
2020-12-09,0.14797,0.141275,0.150111,0.130005,853.86M,4.75%
2020-12-08,0.141265,0.154036,0.154934,0.138345,687.63M,-8.30%
2020-12-07,0.154046,0.158652,0.158864,0.151461,413.79M,-2.91%
2020-12-06,0.158664,0.159919,0.162636,0.153164,494.18M,-0.79%
2020-12-05,0.15993,0.147774,0.161819,0.146182,614.13M,8.19%
2020-12-04,0.147822,0.164088,0.164535,0.146363,750.34M,-9.92%
2020-12-03,0.164108,0.15866,0.168231,0.155685,705.56M,3.44%
2020-12-02,0.158654,0.155712,0.159665,0.150878,811.58M,2.00%
2020-12-01,0.155544,0.172081,0.174267,0.143844,1.66B,-9.61%
2020-11-30,0.172079,0.166503,0.173641,0.160121,1.46B,3.36%
2020-11-29,0.166488,0.164924,0.171041,0.157381,1.43B,0.94%
2020-11-28,0.164933,0.141457,0.171953,0.139074,1.77B,16.59%
2020-11-27,0.141462,0.138502,0.145185,0.130844,1.22B,2.14%
2020-11-26,0.138496,0.155231,0.160285,0.120712,2.26B,-10.78%
2020-11-25,0.155226,0.167,0.175345,0.147621,1.62B,-7.05%
2020-11-24,0.166995,0.169335,0.182604,0.151935,2.53B,8.06%
2020-11-23,0.15454,0.145662,0.158921,0.141364,2.05B,6.10%
2020-11-22,0.145653,0.133458,0.153299,0.120147,2.69B,9.07%
2020-11-21,0.13354,0.11837,0.134554,0.116413,1.50B,12.84%
2020-11-20,0.118347,0.105873,0.118907,0.105561,720.77M,11.77%
2020-11-19,0.105885,0.106539,0.108111,0.104464,449.27M,-0.61%
2020-11-18,0.10653,0.109493,0.1115,0.102345,692.60M,-2.72%
2020-11-17,0.109511,0.103871,0.112167,0.103614,662.41M,5.42%
2020-11-16,0.10388,0.100564,0.10494,0.099539,342.83M,3.29%
2020-11-15,0.100569,0.10406,0.105254,0.09857,380.82M,-3.35%
2020-11-14,0.104055,0.106323,0.107151,0.101548,545.70M,-2.14%
2020-11-13,0.106334,0.104591,0.107957,0.104094,424.38M,1.70%
2020-11-12,0.10456,0.105982,0.106585,0.102645,386.56M,-1.35%
2020-11-11,0.105992,0.105973,0.108834,0.105493,424.73M,0.01%
2020-11-10,0.105976,0.105338,0.109091,0.103784,485.03M,0.61%
2020-11-09,0.105337,0.106566,0.107955,0.101415,563.63M,-1.16%
2020-11-08,0.106568,0.101283,0.108283,0.099961,503.32M,5.21%
2020-11-07,0.101291,0.109067,0.113717,0.099103,1.08B,-7.08%
2020-11-06,0.109013,0.097533,0.109984,0.097063,756.24M,11.77%
2020-11-05,0.097531,0.095449,0.098037,0.092084,545.76M,2.20%
2020-11-04,0.095433,0.093604,0.096217,0.09169,504.11M,1.95%
2020-11-03,0.093609,0.092265,0.094024,0.08818,463.60M,1.46%
2020-11-02,0.092262,0.098099,0.09998,0.091632,479.67M,-5.95%
2020-11-01,0.098099,0.092965,0.098583,0.09256,68.03M,5.51%
2020-10-31,0.092976,0.093298,0.09542,0.092134,402.66M,-0.36%
2020-10-30,0.093313,0.095421,0.095585,0.089665,573.50M,-2.21%
2020-10-29,0.095417,0.098714,0.100683,0.094876,519.80M,-3.41%
2020-10-28,0.098782,0.102614,0.103299,0.095362,559.72M,-3.74%
2020-10-27,0.102617,0.103055,0.105602,0.10191,399.49M,-0.43%
2020-10-26,0.103058,0.10638,0.107489,0.099073,455.16M,-3.10%
2020-10-25,0.106351,0.107951,0.108742,0.106068,260.65M,-1.52%
2020-10-24,0.107991,0.108073,0.109833,0.107344,328.29M,-0.07%
2020-10-23,0.10807,0.110765,0.112048,0.105384,385.50M,-2.44%
2020-10-22,0.110769,0.105922,0.11273,0.105199,517.21M,4.47%
2020-10-21,0.106032,0.10227,0.10848,0.101372,582.73M,3.69%
2020-10-20,0.102259,0.108583,0.108781,0.100856,635.03M,-5.93%
2020-10-19,0.1087,0.107339,0.11098,0.106052,402.60M,1.27%
2020-10-18,0.107334,0.105949,0.107595,0.105077,253.57M,1.28%
2020-10-17,0.105979,0.104115,0.107202,0.103217,347.45M,1.90%
2020-10-16,0.104006,0.106631,0.107323,0.102276,73.15M,-2.49%
2020-10-15,0.106662,0.107068,0.107649,0.104608,449.88M,-0.38%
2020-10-14,0.107069,0.109341,0.112313,0.105266,675.41M,-2.08%
2020-10-13,0.109338,0.109524,0.114205,0.107717,864.29M,-0.17%
2020-10-12,0.109521,0.106469,0.11337,0.102306,817.34M,2.86%
