Date,Price,Open,High,Low,Vol.,Change %
2021-04-14,2431.56,2299.25,2445.4,2281.49,2.11M,5.72%
2021-04-13,2299.93,2137.55,2315.47,2136.49,2.38M,7.58%
2021-04-12,2137.81,2150.79,2199.52,2103.73,2.16M,-0.63%
2021-04-11,2151.42,2133.89,2164.76,2114.55,1.97M,0.83%
2021-04-10,2133.79,2067.26,2197.73,2058.23,2.09M,3.23%
2021-04-09,2066.93,2080.2,2101.07,2050.39,2.47M,-0.62%
2021-04-08,2079.92,1962.44,2084.08,1951.83,1.73M,6.04%
2021-04-07,1961.46,2112.41,2128.25,1939.64,2.30M,-7.11%
2021-04-06,2111.53,2108.81,2150.78,2047.48,1.93M,0.24%
2021-04-05,2106.41,2076.14,2127.89,2004.05,2.31M,1.47%
2021-04-04,2075.94,2007.82,2091.31,1982,1.59M,3.35%
2021-04-03,2008.59,2134.66,2137.68,2004.4,2.01M,-5.90%
2021-04-02,2134.55,1968.12,2144.11,1949.99,2.47M,8.47%
2021-04-01,1967.96,1918.82,1983.84,1897.38,2.08M,2.61%
2021-03-31,1917.99,1841.01,1945.4,1774.66,2.59M,4.18%
2021-03-30,1841.01,1816.92,1857.65,1788.6,3.03M,1.34%
2021-03-29,1816.69,1686.88,1839.41,1678.38,1.94M,7.70%
2021-03-28,1686.8,1712.89,1724.74,1661.92,1.31M,-1.53%
2021-03-27,1713.01,1698.68,1731.73,1667.12,1.40M,0.85%
2021-03-26,1698.6,1586.36,1699.27,1586.28,1.64M,7.06%
2021-03-25,1586.54,1582.23,1621.32,1550.11,1.54M,0.26%
2021-03-24,1582.38,1668.42,1739.82,1546.48,1.88M,-5.13%
2021-03-23,1667.9,1681.5,1720.01,1654.14,1.46M,-0.86%
2021-03-22,1682.37,1783.58,1806.62,1659.28,1.58M,-5.68%
2021-03-21,1783.72,1804.6,1815.85,1748.47,1.43M,-1.16%
2021-03-20,1804.6,1809.09,1868.09,1801.6,27.03K,-0.28%
2021-03-19,1809.64,1775.87,1848.88,1735.42,1.20M,1.89%
2021-03-18,1776.08,1823.72,1849.23,1760.83,1.53M,-2.59%
2021-03-17,1823.35,1804.56,1837.88,1743.62,1.50M,1.03%
2021-03-16,1804.85,1792.08,1817.35,1715.97,1.81M,0.70%
2021-03-15,1792.38,1848.18,1890.59,1745.04,1.70M,-3.07%
2021-03-14,1849.06,1921.29,1932.36,1836.78,671.56K,-3.75%
2021-03-13,1921.13,1767.05,1943.36,1730.46,1.79M,8.73%
