Date,Price,Open,High,Low,Vol.,Change %
2020-11-06,15577.9,15593.9,15955.2,15223.5,186.13K,-0.06%
2020-11-05,15587.1,14145.6,15739.9,14099.7,227.49K,10.19%
2020-11-04,14145.6,14023,14238.8,13544.4,140.80K,0.90%
2020-11-03,14019.9,13560.5,14054,13294.6,108.17K,3.38%
2020-11-02,13561.4,13759.7,13828.4,13214.2,97.76K,-1.44%
2020-11-01,13759.4,13795.5,13889.5,13628.7,51.71K,-0.27%
2020-10-31,13797.3,13560.2,14065.4,13441.7,102.75K,1.75%
2020-10-30,13559.9,13457,13667.9,13134.5,108.77K,0.76%
2020-10-29,13457.2,13278.3,13640,12982.9,111.23K,1.34%
2020-10-28,13278.9,13658.3,13851.7,12907.6,144.18K,-2.77%
2020-10-27,13657.8,13061.5,13782.3,13050.3,128.64K,4.56%
2020-10-26,13061.6,13033,13229.7,12792.4,89.47K,0.23%
2020-10-25,13032.2,13117,13345.3,12900.4,59.73K,-0.65%
2020-10-24,13117.2,12933.6,13161.5,12876.4,51.20K,1.42%
2020-10-23,12934.1,12972.7,13025.5,12738.9,73.94K,-0.31%
2020-10-22,12974.6,12805.5,13183.9,12698.2,113.31K,1.30%
2020-10-21,12808.7,11913.6,13213.5,11894.6,197.72K,7.51%
2020-10-20,11913.5,11753.9,12029.4,11685.7,94.59K,1.36%
2020-10-19,11753.4,11507.1,11823.3,11413.9,73.04K,2.14%
2020-10-18,11506.9,11362.1,11506.9,11349.8,31.51K,1.27%
2020-10-17,11362.1,11321.8,11402.7,11274.4,29.86K,0.35%
2020-10-16,11322,11503.2,11542.2,11224.6,71.42K,-1.57%
2020-10-15,11503,11421.4,11590.9,11276.7,70.84K,0.72%
2020-10-14,11420.4,11424.4,11541,11293.5,59.12K,-0.03%
2020-10-13,11423.8,11533.5,11558,11315.9,64.67K,-0.95%
2020-10-12,11533.9,11370.8,11715.9,11227.4,84.02K,1.43%
2020-10-11,11371,11295.6,11439.4,11277.6,41.06K,0.64%
2020-10-10,11298.4,11053.5,11475,11053.1,65.81K,2.21%
