Trade DATE,AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS,AGG,SPY,VTI,VTV,VOE,VBR,VEA,VWO,IEMG,BTC,ADA,ETH,UNI,GLD,BAR,UGL,DBP,ZI,ZG
2021-03-31,141.55,248.79,122.18,254.6,232.15,51.7,104.84,327.19,305.25,217.2,133.28,64.08,164.43,52.73,152.3201,224.17,192.68,77.09,235.92,133.03,135.57,150.4,372.56,211.86,58.14,212.25,54.92,135.85,184.61,113.82,396.28,206.65,131.42,134.74,165.54,49.11,52.04,64.36,58763.7,1.191349,1917.99,28.038,160.01,16.96,53.89,47.4,48.91,131.34
2021-04-01,144.56,249.05,123.0,252.97,232.74,51.99,105.77,327.72,307.76,216.8,133.25,64.56,162.81,52.5,153.6702,225.2,192.71,77.08,242.39,132.57,134.24,150.62,367.16,218.77,58.3,216.89,54.76,135.54,188.9699,114.02,400.53,209.18,132.11,136.18,167.59,49.78,52.515,65.05,58718.3,1.18282,1967.96,28.6848,161.98,17.175,55.24,48.09,48.12,135.58
2021-04-05,146.07,252.09,125.9001,259.4508,233.7,52.41,104.49,323.54,315.43,219.28,135.92,66.53,163.29,52.8,153.59,228.87,194.91,76.99,249.07,135.17,136.4,151.99,370.05,220.2,58.86,219.11,56.79,139.42,188.47,113.81,406.3,211.71,133.19,137.15,168.38,50.495,52.63,65.27,58993.4,1.211655,2106.41,30.785,161.9,17.17,55.14,47.945,47.54,137.14
2021-04-06,146.14,249.09,126.23,255.13,230.59,52.02,103.58,327.06,313.78,219.19,134.24,65.57,163.44,53.19,152.52,231.95,194.84,75.8,247.87,137.13,136.51,151.75,364.37,221.06,59.1,218.695,55.7,140.1083,189.79,114.21,406.06,211.81,133.07,137.38,168.26,50.06,52.9,65.61,57996.3,1.2518850000000001,2111.53,31.2328,163.23,17.315,56.07,48.4297,48.0,143.76
2021-04-07,147.17,248.05,127.91,252.51,230.32,51.76,104.18,326.55,312.47,218.45,134.93,66.24,163.63,53.28,154.93,232.6,195.05,76.13,249.89,136.54,136.73,152.22,365.56,220.79,58.99,219.27,55.58,139.8,187.55,114.03,406.5711,211.64,133.01,137.03,167.2,50.14,52.13,64.71,55948.7,1.174041,1961.46,28.5023,162.77,17.26,55.7101,48.34,48.04,141.37
2021-04-08,147.0217,246.89,130.37,254.87,230.57,51.91,103.01,330.98,314.43,219.86,135.16,67.05,162.94,53.14,155.12,230.25,195.76,75.51,253.26,133.68,137.28,150.36,365.12,224.45,57.6,220.79,54.79,139.72,187.34,114.3,408.49,212.84,132.85,136.67,167.46,50.44,52.67,65.29,58077.4,1.218895,2079.92,30.2033,164.52,17.45,56.91,48.83,47.99,149.19
2021-04-09,147.78,248.96,133.0,252.315,230.73,52.1,102.86,330.81,319.23,226.9,135.725,68.26,161.25,53.18,156.35,231.48,197.95,76.325,255.83,135.46,136.35,151.61,376.3447,231.29,57.46,222.53,54.17,139.79,187.9,114.18,411.435,214.14,133.63,137.21,168.0,50.565,52.215,64.74,58118.7,1.201904,2066.93,29.5108,163.28,17.31,56.06,48.4114,47.26,147.6
2021-04-12,147.58,248.95,131.26,249.57,230.99,51.56,101.78,331.9,320.82,228.65,134.6,65.4,161.69,53.37,155.98,230.93,197.83,76.22,255.96,136.67,136.97,151.79,376.5,228.7,57.55,221.56,54.7,139.82,186.49,114.15,411.62,214.18,133.68,137.47,168.55,50.31,51.86,64.35,59863.8,1.315495,2137.81,36.6907,162.3,17.21,55.31,48.0,47.32,144.68
2021-04-13,146.03,249.95,134.41,253.13,229.32,51.67,102.27,327.68,320.42,229.01,131.19,65.23,159.5199,53.09,154.09,231.32,196.51,76.41,258.49,133.53,135.12,152.23,374.49,232.0,57.62,220.96,54.6,139.37,185.55,114.46,412.82,214.84,133.25,137.05,167.32,50.63,51.88,64.58,63540.9,1.412372,2299.93,35.4216,163.44,17.34,56.16,48.61,49.0,146.14
2021-04-14,147.44,249.69,132.12,252.4,232.63,51.38,104.28,335.31,320.09,229.51,132.67,64.23,160.01,53.09,151.25,230.33,196.81,76.41,255.91,132.27,135.62,155.49,375.49,228.1,57.7,222.05,54.48,139.37,187.47,114.38,411.48,214.35,133.8,137.72,168.95,50.685,52.15,64.93,62980.4,1.451656,2431.56,36.1112,162.72,17.26,55.66,48.37,48.21,139.27
