Trade DATE,VTIP,AGG,MUB,BNDX,EMB,JPST,GBIL,SHV,OIL,OILK,BNO,COG,GLD,BAR,UGL,DBP,ZI,ZG
2021-05-24,52.39,114.455,116.74,56.77,111.29,50.745,100.12,110.51,19.53,58.84,17.45,16.6,176.38,18.705,65.21,52.55,42.83,114.81
2021-05-25,52.42,114.74,116.91,56.91,111.82,50.76,100.13,110.52,19.42,58.75,17.43,16.45,177.93,18.8796,66.42,52.98,42.13,113.81
2021-05-26,52.37,114.69,117.04,57.025,111.86,50.7677,100.13,110.5116,19.56,59.07,17.54,16.7,177.63,18.84,66.1299,52.74,42.95,116.31
2021-05-27,52.365,114.545,117.005,56.895,111.61,50.7625,100.125,110.51,19.73,59.4518,17.64,16.385,177.78,18.84,66.22,52.9299,44.22,116.72
2021-05-28,52.385,114.51,116.99,56.93,111.9,50.76,100.13,110.5,19.7,59.22,17.6,16.4,178.31,18.915,66.6426,52.7776,43.84,118.269
2021-06-01,52.425,114.34,116.84,56.87,111.67,50.745,100.12,110.505,20.11,60.44,17.99,16.465,177.93,18.875,66.33,52.95,42.75,115.68
2021-06-02,52.42,114.485,116.94,56.9375,111.81,50.745,100.12,110.51,20.3,61.125,18.19,17.04,178.75,18.96,66.985,53.245,43.52,113.53
2021-06-03,52.355,114.21,116.95,56.855,111.28,50.74,100.12,110.5,20.32,61.25,18.21,16.81,175.25,18.59,64.3,52.0989,41.8,110.27
2021-06-04,52.44,114.665,117.12,56.99,112.03,50.74,100.115,110.505,20.49,61.6551,18.28,16.93,177.17,18.79,65.73,52.74,44.23,110.45
2021-06-07,52.39,114.595,117.11,56.94,111.78,50.74,100.115,110.51,20.45,61.6,18.24,16.86,177.88,18.87,66.3374,52.85,44.755,114.41
2021-06-08,52.35,114.82,117.25,57.03,112.19,50.74,100.11,110.5,20.75,62.3801,18.46,17.02,177.3,18.805,65.82,52.7,44.75,115.27
2021-06-09,52.275,115.05,117.55,57.135,112.57,50.74,100.12,110.51,20.58,62.079,18.37,17.22,176.97,18.765,65.57,52.66,44.88,113.81
2021-06-10,52.4181,115.3,117.61,57.2,112.79,50.735,100.115,110.505,20.68,62.41,18.48,17.295,177.73,18.855,66.26,52.75,46.32,112.67
2021-06-11,52.32,115.24,117.53,57.3,112.89,50.74,100.115,110.49,20.81,62.539,18.525,17.28,175.7,18.635,64.61,52.39,46.43,113.47
2021-06-14,52.3,114.97,117.58,57.155,112.24,50.75,100.11,110.49,20.88,62.85,18.635,16.91,174.73,18.54,63.84,52.04,46.34,116.58
2021-06-15,52.365,114.995,117.51,57.1,112.44,50.745,100.11,110.49,21.21,63.6897,18.93,16.88,174.09,18.46,63.37,51.94,44.99,111.21
2021-06-16,52.11,114.63,117.195,57.0,111.57,50.74,100.115,110.49,21.11,63.47,18.88,16.57,171.09,18.14,61.1918,50.97,49.02,108.83
2021-06-17,52.195,114.99,117.31,57.06,111.92,50.73,100.115,110.49,20.72,62.49,18.64,15.895,165.87,17.605,57.4774,49.21,50.6,113.66
